Ticker,Name,Price,Volume,Signal,Model,Success Rate,Mean Ret,Median Ret,T-Score,Trades,Ave. Days,Link to Details
INFY,"Infosys Limited",$11.76,8330303,Buy,STOCHRSI[21_5_3]_D_crosses_50_level,97.8%,1.46%,1.63%,7.59,45.00,9.6,https://arizet.com/quantumstocks/#v/pl/tk/INFY/sn/STOCHRSI[21_5_3]_D_crosses_50_level/sg/Buy/bk/STOCHRSI[21_5_3]_D_crosses_50_level_Buy_INFY_1:3_ATR[20]_m24/tp/Ticker/
JCS,"Communications Systems, Inc.",$5.11,49512,Buy,ZIGZAGHL[5_15_0_7]_trend_follow,100.0%,16.97%,19.03%,6.74,17.00,28.6,https://arizet.com/quantumstocks/#v/pl/tk/JCS/sn/ZIGZAGHL[5_15_0_7]_trend_follow/sg/Buy/bk/ZIGZAGHL[5_15_0_7]_trend_follow_Buy_JCS_exit_after_20_days_m24/tp/Ticker/
KBR,"KBR, Inc.",$26.17,1111523,Buy,BBANDS[50_1_1]_breakout,100.0%,2.62%,2.60%,29.75,19.00,7.0,https://arizet.com/quantumstocks/#v/pl/tk/KBR/sn/BBANDS[50_1_1]_breakout/sg/Buy/bk/BBANDS[50_1_1]_breakout_Buy_KBR_1:3_ATR[20]_m24/tp/Ticker/
KFRC,"Kforce, Inc.",$34.46,110280,Buy,EMA[100]_price_crossover,100.0%,2.90%,2.63%,12.17,16.00,9.6,https://arizet.com/quantumstocks/#v/pl/tk/KFRC/sn/EMA[100]_price_crossover/sg/Buy/bk/EMA[100]_price_crossover_Buy_KFRC_1:3_ATR[20]_m24/tp/Ticker/
KOPN,"Kopin Corporation",$0.79,943994,Buy,STOCHF[14_3]_K_crosses_D_line,100.0%,11.64%,11.68%,5.75,15.00,28.4,https://arizet.com/quantumstocks/#v/pl/tk/KOPN/sn/STOCHF[14_3]_K_crosses_D_line/sg/Buy/bk/STOCHF[14_3]_K_crosses_D_line_Sell_KOPN_exit_after_20_days_m24/tp/Ticker/
LMT,"Lockheed Martin Corporation",$392.66,1685134,Buy,ACCBANDS[50]_breakout,100.0%,1.83%,1.59%,7.80,15.00,9.5,https://arizet.com/quantumstocks/#v/pl/tk/LMT/sn/ACCBANDS[50]_breakout/sg/Buy/bk/ACCBANDS[50]_breakout_Buy_LMT_1:3_ATR[20]_m24/tp/Ticker/
LPI,"Laredo Petroleum, Inc.",$3.06,14037917,Buy,CMO[21]_crosses_0_level,100.0%,5.49%,5.40%,19.88,21.00,8.1,https://arizet.com/quantumstocks/#v/pl/tk/LPI/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Sell_LPI_1:3_ATR[20]_m24/tp/Ticker/
MTZ,"MasTec, Inc.",$66.36,1012817,Buy,ZIGZAGHL[10_10_0_5]_trend_follow,97.2%,2.33%,2.58%,8.06,36.00,8.6,https://arizet.com/quantumstocks/#v/pl/tk/MTZ/sn/ZIGZAGHL[10_10_0_5]_trend_follow/sg/Buy/bk/ZIGZAGHL[10_10_0_5]_trend_follow_Buy_MTZ_1:3_ATR[20]_m24/tp/Ticker/
NOW,"ServiceNow, Inc.",$261.15,1175429,Buy,CCI[20]_crosses_back_100_(-100)_levels,100.0%,3.70%,3.19%,11.80,17.00,7.8,https://arizet.com/quantumstocks/#v/pl/tk/NOW/sn/CCI[20]_crosses_back_100_(-100)_levels/sg/Buy/bk/CCI[20]_crosses_back_100_(-100)_levels_Buy_NOW_1:2_ATR[20]_m24/tp/Ticker/
PFSW,"PFSweb, Inc.",$2.93,59564,Buy,CMO[21]_crosses_0_level,100.0%,4.58%,3.88%,13.54,27.00,9.6,https://arizet.com/quantumstocks/#v/pl/tk/PFSW/sn/CMO[21]_crosses_0_level/sg/Buy/bk/CMO[21]_crosses_0_level_Sell_PFSW_1:3_ATR[20]_m24/tp/Ticker/
